Price for 2,Dining Rating,Dining Rating Count,Location,Cuisine
500,4.3,1500,Pallavaram,Biryani
1000,4.4,3059,Alandur,"Biryani,  North Indian,  Mughlai,  Desserts,  Beverages"
500,4.3,1361,Kodambakkam,"Biryani,  North Indian,  Chinese,  Arabian"
500,4,1101,Perambur,"Burger,  Fast Food,  Finger Food,  Beverages"
450,4.2,617,Perambur,"Chinese,  Biryani,  North Indian,  Chettinad,  Arabian"
450,4.1,567,Medavakkam,"South Indian,  North Indian,  Chinese"
350,,Does not offer Dining,Navallur,Biryani
800,4.3,668,Anna Nagar East,"Cafe,  Fast Food"
1400,4.2,2564,Anna Nagar East,"Arabian,  Chinese,  North Indian,  Lebanese,  Salad"
800,4.4,1578,T. Nagar,"South Indian,  North Indian,  Chinese,  Chettinad,  Desserts,  Beverages"
500,3.9,743,Velachery,"Burger,  Fast Food"
700,4.4,961,Anna Nagar East,South Indian
350,4,982,Vadapalani,"Chinese,  Chettinad"
900,4.3,770,Porur,"South Indian,  Biryani,  Chinese,  North Indian"
500,4.3,1266,Kilpauk,"North Indian,  Chinese,  Seafood,  South Indian,  Biryani"
300,4.5,1094,Purasavakkam,"South Indian,  Desserts,  Beverages"
800,4.1,1363,Ashok Nagar,"Arabian,  Biryani,  Chinese,  North Indian,  Italian"
1200,4.2,742,Chetpet,"Seafood,  Biryani,  Hyderabadi,  Arabian,  North Indian,  Chinese,  Kerala"
2000,4.1,354,Velachery,"Continental,  Asian"
450,4.1,660,Aminijikarai,"Kerala,  Chinese,  North Indian,  Biryani"
500,4.2,802,Ramapuram,"Andhra,  Biryani,  North Indian"
400,4.3,578,Mylapore,"South Indian,  North Indian,  Chinese,  Street Food"
650,4.2,1992,Thuraipakkam,"Biryani,  North Indian,  Chinese"
1500,4.2,464,RA Puram,"North Indian,  Continental,  Italian"
250,4.7,782,Alwarpet,South Indian
550,4.2,1180,Velachery,"Biryani,  Chinese,  North Indian,  Seafood,  Beverages"
550,4.3,1139,Mogappair,"North Indian,  Mughlai"
400,4.2,457,West Mambalam,"South Indian,  North Indian,  Chinese"
450,4.1,625,Adyar,Italian
500,4.3,1030,Nungambakkam,"Chettinad,  Chinese,  North Indian,  Kebab,  Biryani"
900,4.1,1118,Royapettah,"North Indian,  Arabian,  Chinese"
500,4.2,403,Mylapore,"South Indian,  North Indian,  Chinese"
300,4.3,602,Chromepet,"South Indian,  North Indian"
450,4.3,455,Kilpauk,"Mithai,  Street Food,  North Indian"
800,3.9,350,Velachery,"Andhra,  Hyderabadi"
800,3.5,646,Chromepet,"Biryani,  Arabian,  North Indian,  Chinese,  Desserts,  Beverages"
400,4,429,Kolathur,"Pizza,  Fast Food"
300,4.6,1085,Chetpet,"Mithai,  Street Food,  Fast Food"
600,3.9,704,Valasaravakkam,"Andhra,  Chinese,  South Indian,  North Indian,  Biryani"
700,4,712,Guindy,"North Indian,  Chinese"
350,4.2,692,Mogappair,"South Indian,  North Indian,  Andhra,  Chinese"
750,3.9,601,Potheri,"Chinese,  North Indian,  Kerala"
1000,4.2,774,Nungambakkam,"Malaysian,  Asian,  Chinese"
500,4.2,1059,Navallur,"Chinese,  South Indian,  Biryani,  Andhra"
250,3.6,409,Mogappair,Biryani
1200,4.3,946,Mylapore,"Pizza,  American,  Italian"
400,4,559,Perambur,"Biryani,  Mughlai,  Fast Food,  South Indian"
1000,4.4,2162,Egmore,"North Indian,  Chinese,  Arabian,  BBQ,  Biryani,  Beverages"
300,4,523,Porur,"Biryani,  South Indian,  Chinese,  North Indian"
900,3.8,602,Madipakkam,"Chinese,  Arabian,  North Indian,  Seafood"
200,4.6,908,Velachery,South Indian
900,4.2,1082,Thiruvanmiyur,"Biryani,  North Indian,  Kebab,  Rolls"
600,3.6,565,Velachery,"South Indian,  North Indian,  Chinese,  Fast Food,  Mithai"
1000,4.2,2275,Saligramam,"North Indian,  Chinese,  Chettinad,  Seafood"
750,4.2,1288,Chromepet,Arabian
500,4.1,2449,Sholinganallur,"Biryani,  Andhra,  North Indian,  Chinese"
300,4.1,835,Porur,"Biryani,  Andhra,  North Indian,  Chinese,  South Indian"
350,4.9,842,Royapettah,"Bakery,  Desserts,  Beverages"
700,4.3,1009,T. Nagar,"South Indian,  Chinese,  Kerala,  Tamil"
700,4.7,1152,Alwarpet,Middle Eastern
750,4.4,2485,Anna Nagar East,"Continental,  American,  Italian,  Desserts,  Beverages"
400,4,731,Kilpauk,"Fast Food,  Street Food,  Beverages"
500,4.8,1516,Nungambakkam,"Desserts,  Ice Cream"
600,3.7,1135,Nungambakkam,"Pizza,  Fast Food"
800,4.3,1078,Velachery,"Arabian,  Chinese,  North Indian,  Seafood"
700,4.3,1225,Anna Nagar East,"South Indian,  North Indian,  Chinese,  Chettinad,  Kebab"
600,4,849,Porur,"North Indian,  Chinese,  Biryani,  Kebab"
1800,4.5,768,Alwarpet,"Singaporean,  American,  European,  Continental,  Bakery"
1400,4.5,2252,Nungambakkam,"Cafe,  Continental,  Italian,  Desserts"
550,2.7,854,Perungudi,"North Indian,  South Indian,  Desserts,  Beverages,  Mithai"
1500,4.7,1349,Besant Nagar,"Italian,  Mexican,  Salad"
1100,4.3,1943,Kotturpuram,"Cafe,  Italian,  American"
500,3.9,460,Aminijikarai,"Biryani,  South Indian,  North Indian,  Chinese"
1600,4.1,1262,Kodambakkam,"American,  Continental"
600,4.4,5407,Semmancheri,"Pizza,  Italian,  Fast Food,  Beverages,  Desserts"
400,4.7,3042,Kilpauk,Fast Food
700,4.1,1096,Royapuram,"North Indian,  Biryani,  Chinese,  Chettinad,  Rolls,  Desserts,  Beverages"
300,,Does not offer Dining,Kodambakkam,Biryani
500,4.5,983,Anna Nagar West,"Rajasthani,  North Indian"
900,4.3,771,Perungudi,North Indian
500,4.1,345,Kilpauk,"North Indian,  Mughlai,  Chinese,  Seafood"
400,4.3,585,Valasaravakkam,"North Indian,  Fast Food,  Beverages"
500,4,1027,Velachery,"Burger,  Fast Food,  Beverages"
550,4.1,669,Mogappair,"Chinese,  North Indian,  Seafood,  Andhra,  Biryani"
900,4.1,1124,Anna Nagar East,"Asian,  Continental,  Italian,  Chinese,  South Indian,  Desserts"
2500,4.4,1198,Grand by GRT Hotels,"North Indian,  South Indian,  Continental,  Asian"
500,4,515,Mogappair,"North Indian,  South Indian,  Chinese"
500,3.9,447,Perambur,"North Indian,  Chinese,  Biryani"
